No,English,日本語,Category,Page
1,year,年,年・月・日・時・行事,1
2,month,月,年・月・日・時・行事,1
3,week,週,年・月・日・時・行事,1
4,day,日,年・月・日・時・行事,1
5,today,今日,年・月・日・時・行事,1
6,tomorrow,明日,年・月・日・時・行事,1
7,date,日付,年・月・日・時・行事,1
8,time,時こく,年・月・日・時・行事,1
9,hour,1時間,年・月・日・時・行事,1
10,minute,分,年・月・日・時・行事,1
11,morning,朝,年・月・日・時・行事,1
12,noon,正午,年・月・日・時・行事,1
13,afternoon,午後,年・月・日・時・行事,1
14,evening,晩,年・月・日・時・行事,1
15,night,夜,年・月・日・時・行事,1
16,a.m.,午前,年・月・日・時・行事,1
17,p.m.,午後,年・月・日・時・行事,1
18,weekend,週末,年・月・日・時・行事,1
19,New Year’s Day,元日,年・月・日・時・行事,1
20,Dolls’ Festival,ひなまつり,年・月・日・時・行事,1
21,Children’s Day,こどもの日,年・月・日・時・行事,1
22,Christmas,クリスマス,年・月・日・時・行事,1
23,New Year’s Eve,大みそか,年・月・日・時・行事,1
24,vacation,休み,年・月・日・時・行事,1
25,birthday,誕生日,年・月・日・時・行事,1
26,present,プレゼント,年・月・日・時・行事,1
27,party,パーティー,年・月・日・時・行事,1
28,Monday,月曜日,曜日・季節・月の名前,2
29,Tuesday,火曜日,曜日・季節・月の名前,2
30,Wednesday,水曜日,曜日・季節・月の名前,2
31,Thursday,木曜日,曜日・季節・月の名前,2
32,Friday,金曜日,曜日・季節・月の名前,2
33,Saturday,土曜日,曜日・季節・月の名前,2
34,Sunday,日曜日,曜日・季節・月の名前,2
35,spring,春,曜日・季節・月の名前,2
36,summer,夏,曜日・季節・月の名前,2
37,autumn,秋,曜日・季節・月の名前,2
38,fall,秋・落ちる,曜日・季節・月の名前,2
39,winter,冬,曜日・季節・月の名前,2
40,January,1月,曜日・季節・月の名前,2
41,February,2月,曜日・季節・月の名前,2
42,March,3月,曜日・季節・月の名前,2
43,April,4月,曜日・季節・月の名前,2
44,May,5月,曜日・季節・月の名前,2
45,June,6月,曜日・季節・月の名前,2
46,July,7月,曜日・季節・月の名前,2
47,August,8月,曜日・季節・月の名前,2
48,September,9月,曜日・季節・月の名前,2
49,October,10月,曜日・季節・月の名前,2
50,November,11月,曜日・季節・月の名前,2
51,December,12月,曜日・季節・月の名前,2
52,one,1,数,3
53,two,2,数,3
54,three,3,数,3
55,four,4,数,3
56,five,5,数,3
57,six,6,数,3
58,seven,7,数,3
59,eight,8,数,3
